title,id,coordinates,source_system_url,image_url,iiif_url
Ein Mädchen auf einem Schlitten im Wald,BibZug_TD_23_02437,,https://n2t.net/ark:/63274/bz16d40,https://zentralgut.ch/content/BibZug_TD_23_02437/800/0/TD_23_02437.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02437/pages/1/manifest
Mehrere Personen auf einem verschneiten Waldweg,BibZug_TD_23_02438,"47.153112905436245, 8.520816263942024",https://n2t.net/ark:/63274/bz12m1n,https://zentralgut.ch/content/BibZug_TD_23_02438/800/0/TD_23_02438.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02438/pages/1/manifest
Kantonales Schützenfest in Cham 01,BibZug_TD_23_02439,"47.1811887578, 8.45936407975",https://n2t.net/ark:/63274/bz1xw86,https://zentralgut.ch/content/BibZug_TD_23_02439/800/0/TD_23_02439.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02439/pages/1/manifest
Sechs Mädchen vor der Kirche St. Michael in Zug,BibZug_TD_23_02272,"47.162645728865044, 8.517692684096998",https://n2t.net/ark:/63274/bz14d2g,https://zentralgut.ch/content/BibZug_TD_23_02272/800/0/TD_23_02272.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02272/pages/1/manifest
"Eine Orgel im inneren einer Kirche, Ort unbekannt",BibZug_TD_23_02274,,https://n2t.net/ark:/63274/bz1vw73,https://zentralgut.ch/content/BibZug_TD_23_02274/800/0/TD_23_02274.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02274/pages/1/manifest
"Eine Hausruine am Ufer eines Flusses, vermutlich zerstört durch den Bergsturz bei Sörenberg 1911",BibZug_TD_23_02275,"46.8237824584, 8.03230509097",https://n2t.net/ark:/63274/bz1r343,https://zentralgut.ch/content/BibZug_TD_23_02275/800/0/TD_23_02275.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02275/pages/1/manifest
Das verwüstet Dorf Sörenberg nach einem Bergsturz,BibZug_TD_23_02276,"46.8237824584, 8.03230509097",https://n2t.net/ark:/63274/bz1md3q,https://zentralgut.ch/content/BibZug_TD_23_02276/800/0/TD_23_02276.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02276/pages/1/manifest
Eine unbekannte Eingangstür mit dekorativem Querbalken beim Türrahmen,BibZug_TD_23_02277,,https://n2t.net/ark:/63274/bz1gm0c,https://zentralgut.ch/content/BibZug_TD_23_02277/800/0/TD_23_02277.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02277/pages/1/manifest
"Eine Orgel im inneren einer Kirche, vermutlich alte Kirche St. Michael in Zug",BibZug_TD_23_02278,,https://n2t.net/ark:/63274/bz1bw7x,https://zentralgut.ch/content/BibZug_TD_23_02278/800/0/TD_23_02278.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02278/pages/1/manifest
"Eine Orgel im inneren einer Kirche, vermutlich alte Kirche St. Michael in Zug",BibZug_TD_23_02279,,https://n2t.net/ark:/63274/bz1735b,https://zentralgut.ch/content/BibZug_TD_23_02279/800/0/TD_23_02279.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02279/pages/1/manifest
